authority,expected,observed,status
canonical_constructor_source_commit,79deff45c5d4e5349e4ce648e212e6fbce1a27bd,79deff45c5d4e5349e4ce648e212e6fbce1a27bd,pass
canonical_scientific_adjudication,f2c6d770e41c284895050c46ef521dbba17d42d4,f2c6d770e41c284895050c46ef521dbba17d42d4,pass
release_base_commit,4a9902bbc396ebca1db1ab12fcf203cb8e21e45b,4a9902bbc396ebca1db1ab12fcf203cb8e21e45b,pass
canonical_constructor_source_sha256,914356315ba3a489b6d97f5b2770b3c87e1b770e3ff735a6198a9a064f69592f,914356315ba3a489b6d97f5b2770b3c87e1b770e3ff735a6198a9a064f69592f,pass
