contract,expected,observed,status
feature_order_sha256,2843f8071d1ef4df81db613af2ffc8510060ca0c604a30d94da352e84957167b,2843f8071d1ef4df81db613af2ffc8510060ca0c604a30d94da352e84957167b,pass
role_assignment_sha256,da30bcd94094c9f249b0e4ff309336a69a9c6eca7a240604180894f8fa951f5f,da30bcd94094c9f249b0e4ff309336a69a9c6eca7a240604180894f8fa951f5f,pass
constructor_aggregate_scientific_surface_sha256,e759eae39d308312bf9beeea0248dba20d580a7765e26b2dda2383a55ba299d9,e759eae39d308312bf9beeea0248dba20d580a7765e26b2dda2383a55ba299d9,pass
downstream_r2a_scientific_surface_sha256,848be7b3103f6272c020e4ba1a7c23fe278c51bfd4aaf2d7ad53a171569a5505,848be7b3103f6272c020e4ba1a7c23fe278c51bfd4aaf2d7ad53a171569a5505,pass
subject_split,70_train_15_validation_15_historical_other,70_train_15_validation_15_historical_other,pass
feature_count,33,33,pass
