experiment_id,cohort,method_id,seed,evaluation_mode,horizon_hours,feature_group,rmse,mae,observed_cells,lineage,component_definition
KDD098R,aki,transformer_world_model,3411,one_step,4,overall,0.670312120979473,0.44139739602468997,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,transformer_world_model,3414,one_step,4,overall,0.6693897760796363,0.44077942144912247,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,dreamer_v3_categorical_rssm,3408,one_step,4,overall,0.7227948301778976,0.4666277228179139,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,dreamer_v3_categorical_rssm,3411,one_step,4,overall,0.7252426388607374,0.46747687400071547,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,dreamer_v3_categorical_rssm,3414,one_step,4,overall,0.7248148392702755,0.4673077743957851,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD098R,aki,gaussian_transition_ensemble,3408;3411;3414,one_step,4,overall,0.6709825166556923,0.4418654349886787,460490,KDD097/KDD098R unchanged,P next-state dynamics
KDD122,sepsis,persistence_locf,3408,one_step,4,overall,5.718282478796401,0.45313173999511897,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,hgb_residual,3408,one_step,4,overall,5.710625210495758,0.4296461802314062,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,hgb_residual,3411,one_step,4,overall,5.71051959794108,0.4291644489080418,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,hgb_residual,3414,one_step,4,overall,5.710568539379382,0.4281737132616107,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,grud_world_model,3408,one_step,4,overall,5.713173827729815,0.44551955471266474,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,grud_world_model,3411,one_step,4,overall,5.711713297632882,0.43677463583568865,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,grud_world_model,3414,one_step,4,overall,5.711246854803927,0.4376962810838326,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,transformer_world_model,3408,one_step,4,overall,5.711051211152259,0.4372178117137933,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,transformer_world_model,3411,one_step,4,overall,5.712569424666944,0.44209712377211785,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,transformer_world_model,3414,one_step,4,overall,5.713171782050032,0.4469505929695045,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
KDD122,sepsis,dreamer_v3_categorical_rssm,3408,one_step,4,overall,5.718415108988115,0.46430030269082195,469231,KDD121/KDD122 large-lineage v2,"P; P=next-state, R=reward/outcome, T=trajectory termination"
