task,reward_contract,policy,seed,horizon,estimator,denominator,clip,evidence_status,descriptive_not_authorization
sepsis,terminal_90d_only,discrete_cql,3408,4,WIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,PDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,CWPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,DR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WDR,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,FQE,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,support_restricted_WPDIS,historical_knn,none,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,IS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,PDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,CWPDIS,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,DR,historical_knn,20.0,reported_support_fragile,True
sepsis,terminal_90d_only,discrete_cql,3408,4,WDR,historical_knn,20.0,reported_support_fragile,True
